original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
197,124,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 3): 7, (2, 4): 9, (3, 5): 3}","(1, 7, 9, 3)",3,2
198,125,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 6, (1, 4): 1, (2, 4): 8, (2, 5): 1, (3, 5): 3}","(1, 7, 9, 3)",3,3
199,124,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 7, (2, 4): 9, (3, 5): 3}","(1, 7, 9, 3)",3,2
200,126,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4, x1*x5, x2*x5)","{(0, 0): 1, (1, 2): 8, (2, 3): 14, (3, 4): 9, (4, 5): 2}","(1, 8, 14, 9, 2)",4,1
201,127,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 7, (1, 3): 1, (2, 3): 12, (2, 4): 2, (3, 4): 8, (3, 5): 1, (4, 5): 2}","(1, 8, 14, 9, 2)",4,2
202,126,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 8, (2, 3): 14, (3, 4): 9, (4, 5): 2}","(1, 8, 14, 9, 2)",4,1
203,128,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 4, (2, 3): 6, (2, 4): 7, (3, 4): 4, (3, 5): 3, (4, 5): 1}","(1, 8, 13, 7, 1)",4,2
204,129,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 7, (2, 4): 12, (3, 5): 5}","(1, 8, 12, 5)",3,2
205,130,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 3): 8, (2, 4): 11, (3, 5): 4}","(1, 8, 11, 4)",3,2
206,130,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 8, (2, 4): 11, (3, 5): 4}","(1, 8, 11, 4)",3,2
207,131,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4, x1*x5, x2*x5, x3*x5)","{(0, 0): 1, (1, 2): 9, (2, 3): 17, (3, 4): 12, (4, 5): 3}","(1, 9, 17, 12, 3)",4,1
208,132,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 3): 9, (2, 4): 13, (3, 5): 5}","(1, 9, 13, 5)",3,2
209,133,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4, x1*x5, x2*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 10, (2, 3): 20, (3, 4): 15, (4, 5): 4}","(1, 10, 20, 15, 4)",4,1
210,134,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 10, (2, 4): 15, (3, 5): 6}","(1, 10, 15, 6)",3,2
